arms,n_clicks_b,n_shows_b,n_clicks_r,n_shows_r
id-566478,25,523,4281,78058
id-563643,8,294,3528,96881
id-559833,25,514,2516,80045
id-566439,2,403,545,57311
id-564418,4,322,1544,96498
id-562374,41,732,2746,79605
id-563846,2,289,3581,96976
id-566825,75,837,4409,79668
id-566573,10,437,2353,76586
id-566689,31,565,3140,81247
id-566726,48,928,2674,61463
id-560805,40,640,3444,76689
id-566431,57,788,5364,77548
id-566587,164,1304,7128,89169
id-564371,14,501,2785,77015
id-566602,12,533,2594,83431
id-562265,4,309,1147,66503
id-566631,2,387,1482,67311
id-565822,7,250,3868,88244
id-566838,135,1032,3820,55872
id-566541,8,199,932,42035
id-562637,691,31184,1905,87186
