arms,n_clicks_b,n_shows_b,n_clicks_r,n_shows_r
id-566478,19,388,4281,78058
id-563643,7,300,3528,96881
id-559833,14,396,2516,80045
id-566439,6,279,545,57311
id-564418,4,267,1544,96498
id-562374,10,343,2746,79605
id-563846,5,286,3581,96976
id-566825,31,416,4409,79668
id-566573,9,342,2353,76586
id-566689,20,391,3140,81247
id-566726,21,353,2674,61463
id-560805,11,343,3444,76689
id-566431,38,436,5364,77548
id-566587,38,462,7128,89169
id-564371,3,284,2785,77015
id-566602,9,364,2594,83431
id-562265,2,286,1147,66503
id-566631,5,308,1482,67311
id-565822,5,218,3868,88244
id-566838,146,758,3820,55872
id-566541,9,223,932,42035
id-562637,679,30971,1905,87186
